label,Issue_KEY,Commit_SHA,Issue_Text,Commit_Text,Commit_Code
0,BAHIR-29,29d8c7622cf9663e295d7616ae1e1b089fe80da9,Add documentation for streaming-mqtt connector  ,[BAHIR-31] Add basic documentation for ZeroMQ connector, ADD README.md
0,BAHIR-68,cc9cf1ba2097fad00f8ff173434bfdabf4e3f10c,Add documentation for existing Flink connectors  ,[BAHIR-62] Prepare release based on Apache Spark 2.0.1, MODIFY pom.xml
0,BAHIR-22,76bfd8b2509128ae2a4ed7f59bcf4dac75c0296a,"Add script to run examples Apache Spark has a convenience script {{./bin/run-example}} to allow users to quickly run the pre-packaged examples without having to compose a long(ish) spark-submit command. The JavaDoc of most examples refers to that  {{./bin/run-example}} script in their description of how to run that example.

The Apache Bahir project should have a similar convenience script to be consistent with Apache Spark, existing documentation and to (at least initially) hide additional complexities of the spark-submit command.

Example:
{code}
./bin/run-example \
  org.apache.spark.examples.streaming.akka.ActorWordCount localhost 9999
{code}
...translates to this {{spark-submit}} command:
{code}
${SPARK_HOME}/bin/spark-submit \
  --packages org.apache.bahir:spark-streaming-akka_2.11:2.0.0-SNAPSHOT \
  --class org.apache.spark.examples.streaming.akka.ActorWordCount \
    streaming-akka/target/spark-streaming-akka_2.11-2.0.0-SNAPSHOT-tests.jar \
  localhost 9999
{code}","[BAHIR-20] Create release helper scripts

Release script to automate :
- Preparing release artifacts
- Publishing maven artifacts in Scala 2.10 and 2.11
- Publishing snapshots", ADD release-build.sh
0,BAHIR-41,9ad566815b8e2e654547d6022d20016025d49923,[WEBSITE] Fix logo display in small devices Reported by [~jreijn],[BAHIR-44] Add new sql-streaming-mqtt to distribution profile, MODIFY pom.xml
0,BAHIR-41,1abeab29c8a5e884f4603ef12abd85971a9105b0,[WEBSITE] Fix logo display in small devices Reported by [~jreijn],[BAHIR-42] Refactor sql-streaming-mqtt scala example, RENAME MQTTStreamWordCount.scala
0,BAHIR-29,858ad27ad2766ab85e8c41e0cfa45162e9f7e308,Add documentation for streaming-mqtt connector  ,[BAHIR-28] Add basic documentation for Akka connector, ADD README.md
1,BAHIR-149,f9a67de735fee8c89518cf37a513766c9e9e6b15,Upgrade cloudant dependency to release 2.11.0  ,[BAHIR-149] Update Cloudant dependency to release 2.11.0, MODIFY pom.xml
1,BAHIR-100,e3d9e6960941696ba073735e9d039c85146c217a,"Providing MQTT Spark Streaming to return encoded Byte[] message without corruption Now a days Network bandwidth is becoming a serious resource that need to be conserver in IoT ecosystem, For this puropse we are using different byte[] based encoding such as Protocol Buffer and flat Buffer, Once this encoded message is converted into string the data becomes corrupted, So same byte[] format need to be preserved when forwarded.","[BAHIR-100] Enhance MQTT connector to support byte arrays

Closes #47", MODIFY README.md MODIFY MQTTInputDStream.scala ADD MQTTPairedByteArrayInputDStream.scala onStart connectionLost getReceiver onStop messageArrived deliveryComplete MODIFY MQTTPairedInputDStream.scala MODIFY MQTTUtils.scala createPairedStream createPairedByteArrayStream createPairedByteArrayStream createPairedByteArrayStream createPairedStream createPairedByteArrayStream createPairedByteArrayStream createPairedStream createPairedByteArrayStream createPairedByteArrayStream createPairedStream createPairedStream createPairedStream createPairedStream MODIFY JavaMQTTStreamSuite.java testMQTTStream MODIFY MQTTStreamSuite.scala
1,BAHIR-84,bce9cd15989e648be03468c6a5b848ee8193df4d,"Build log flooded with test log messages The maven build log/console gets flooded with INFO messages from {{org.apache.parquet.hadoop.*}} during the {{test}} phase of module {{sql-streaming-mqtt}} . This makes it hard to find actual problems and test results especially when the log messages intersect with build and test status messages throwing off line breaks etc.

*Excerpt of build log:*

{code:title=$ mvn clean package}
...
Discovery completed in 293 milliseconds.
Run starting. Expected test count is: 7
BasicMQTTSourceSuite:
- basic usage
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.codec.CodecConfig: Compression: SNAPPY
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.codec.CodecConfig: Compression: SNAPPY
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.codec.CodecConfig: Compression: SNAPPY
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.codec.CodecConfig: Compression: SNAPPY
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet block size to 134217728
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet block size to 134217728
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet page size to 1048576
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet block size to 134217728
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet block size to 134217728
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet page size to 1048576
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet dictionary page size to 1048576
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet page size to 1048576
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Dictionary is on
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet dictionary page size to 1048576
Jan 11, 2017 11:05:54 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet page size to 1048576
...
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet block size to 134217728
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet page size to 1048576
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Parquet dictionary page size to 1048576
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Dictionary is on
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Validation is o- Send and receive 100 messages.
- no server up
- params not provided.
- Recovering offset from the last processed offset. !!! IGNORED !!!
StressTestMQTTSource:
- Send and receive messages of size 250MB. !!! IGNORED !!!
LocalMessageStoreSuite:
- serialize and deserialize
- Store and retreive
- Max offset stored
MQTTStreamSourceSuite:
Run completed in 20 seconds, 622 milliseconds.
Total number of tests run: 7
Suites: completed 5, aborted 0
Tests: succeeded 7, failed 0, canceled 0, ignored 2, pending 0
All tests passed.
ff
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ParquetOutputFormat: Writer version is: PARQUET_1_0
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.InternalParquetRecordWriter: Flushing mem columnStore to file. allocated memory: 48
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.InternalParquetRecordWriter: Flushing mem columnStore to file. allocated memory: 48
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ColumnChunkPageWriteStore: written 109B for [value] BINARY: 1 values, 34B raw, 36B comp, 1 pages, encodings: [RLE, PLAIN, BIT_PACKED]
Jan 11, 2017 11:06:03 PM INFO: org.apache.parquet.hadoop.ColumnChunkPageWriteStore: written 59B for [timestamp] INT96: 1 values, 8B raw, 10B comp, 1 pages, encodings: [RLE, PLAIN_DICTIONARY, BIT_PACKED], dic { 1 entries,...
{code}","[BAHIR-84] Suppress Parquet-MR build log messages

Since Parquet-MR (1.7.0) uses Java Simple Logging (not Log4j) we
need to add a logging.properties file and add it to the configuration
of the maven-surefire-plugin and scalatest-maven-plugin.
Since Parquet-MR is logging everything to System.out despite log file
handler settings we raise the threshold to ERROR.

https://github.com/Parquet/parquet-mr/issues/390
https://github.com/Parquet/parquet-mr/issues/425

Closes #33", MODIFY pom.xml ADD logging.properties
0,BAHIR-98,f0d9a84f76cb34a432e1d2db053d2471a8ab2ba4,"Jenkins does not run Scalatests Our Jenkins integration server currently only runs Java tests (JUnit) but no Scala tests.

i.e. [build log|http://169.45.79.58:8080/job/Apache%20Bahir%20-%20Pull%20Request%20Builder/35/console] for PR #[38|https://github.com/apache/bahir/pull/38#issuecomment-289624943]

...for *JUnit tests*:
{code}
17:20:37 [INFO] --- maven-surefire-plugin:2.19.1:test (default-test) @ spark-streaming-akka_2.11 ---
17:20:37 
17:20:37 -------------------------------------------------------
17:20:37  T E S T S
17:20:37 -------------------------------------------------------
17:20:37 OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=512m; support was removed in 8.0
17:20:37 Running org.apache.spark.streaming.akka.JavaAkkaUtilsSuite
17:20:39 Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.483 sec - in org.apache.spark.streaming.akka.JavaAkkaUtilsSuite
17:20:39 
17:20:39 Results :
17:20:39 
17:20:39 Tests run: 1, Failures: 0, Errors: 0, Skipped: 0
17:20:39 
{code}

...for *Scala tests*:
{code}
17:20:39 [INFO] --- maven-surefire-plugin:2.19.1:test (test) @ spark-streaming-akka_2.11 ---
17:20:39 [INFO] Skipping execution of surefire because it has already been run for this configuration
17:20:39 [INFO] 
17:20:39 [INFO] --- scalatest-maven-plugin:1.0:test (test) @ spark-streaming-akka_2.11 ---
17:20:39 OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=512m; support was removed in 8.0
17:20:39 Discovery starting.
17:20:39 Discovery completed in 34 milliseconds.
17:20:39 Run starting. Expected test count is: 0
17:20:39 DiscoverySuite:
17:20:39 Run completed in 95 milliseconds.
17:20:39 Total number of tests run: 0
17:20:39 Suites: completed 1, aborted 0
17:20:39 Tests: succeeded 0, failed 0, canceled 0, ignored 0, pending 0
17:20:39 No tests were executed.
{code}","[BAHIR-101] Spark SQL datasource for CounchDB/Cloudant

Initial code supporting CounchDB/Cloudant as an Spark SQL
data source. The initial source contains the core connector,
examples, and basic documentation on the README.

Closes #39.", MODIFY README.md MODIFY pom.xml ADD README.md ADD CloudantApp.py ADD CloudantDF.py ADD CloudantDFOption.py ADD CloudantApp.scala main ADD CloudantDF.scala main ADD CloudantDFOption.scala main ADD CloudantStreaming.scala getInstance main ADD CloudantStreamingSelector.scala main ADD pom.xml ADD application.conf ADD reference.conf ADD CloudantConfig.scala getRangeUrl getDbname getTotalRows getForbiddenErrStr getConflictErrStr getOneUrlExcludeDDoc1 getSubSetUrl allowPartition getLastNum getTotalUrl getBulkRows calculateCondition getCreateDBonSave getLastUrl getContinuousChangesUrl getChangesUrl calculate getAllDocsUrlExcludeDDoc getOneUrl getSelector getAllDocsUrl getSchemaSampleSize getRows getBulkPostUrl getDbUrl getOneUrlExcludeDDoc2 ADD CloudantReceiver.scala onStart onStop receive run ADD DefaultSource.scala buildScan createRelation create insert createRelation createRelation ADD FilterUtil.scala filter containsFiltersFor apply analyze evaluate getFiltersForPostProcess getFilterAttribute getInfo ADD JsonStoreConfigManager.scala getString getConfig getConfig getBool getLong getInt ADD JsonStoreDataAccess.scala getChanges convert convertSkip getOne getClPostRequest saveAll getTotalRows createDB processAll getMany getIterator processIterator ADD JsonStoreRDD.scala compute ADD JsonUtil.scala getField
