Pro,label,Issue_KEY,Commit_SHA,Issue_Text,Commit_Text,Commit_Code
keras,1,#12506,28ee86a51fa628f65a62d077e8dd9b7099b1749b,"Updated The Copyright Years<!--
Please Make Sure You'Ve Read And Understood Our Contributing Guidelines;
Https://Github.Com/Keras-Team/Keras/Blob/Master/Contributing.Md
-->

### Summary

The Copyrights Years Were Not Up To Date, Hence, I Changed Them To The Current Year.

### Related Issues

### Pr Overview

- [N] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [Y] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [N] This Pr Is Backwards Compatible [Y/N]
- [N] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Updated the copyright years (#12506),Updated the copyright years (#12506)
keras,1,#11261,af85b95bb8b0c82aabe0df0ab24420e31fb057a2,"Add More Variable Initializers To Numpy BackendOnes, Zeros, Zeros_Like, Ones_Like","add more variable initializers to numpy backend (#11261)

* add variable initializers ( ones, zeros, ones_like, zeros_like ).
consolidate tests of all variable initializers + add new tests.

* split up the unit tests

* spelling error

* undo formating changes","add more variable initializers to numpy backend (#11261)

* add variable initializers ( ones, zeros, ones_like, zeros_like ).
consolidate tests of all variable initializers + add new tests.

* split up the unit tests

* spelling error

* undo formating changes"
keras,0,11076,f9210387088fe91b5bc8999cf0cb41a0fe9eacf6,"Section For Training History Visualization### Summary
Added A Section For Training History Visualization Using Matplotlib, Inspired By Https://Machinelearningmastery.Com/Display-Deep-Learning-Model-Training-History-In-Keras/

### Related Issues
Nil

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [X] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Made the backend tests faster by using the numpy backend in the (#11062)

test_switch.","Made the backend tests faster by using the numpy backend in the (#11062)

test_switch."
keras,0,10913,6746bda3dcda273580fef2d911c6cc333c8a626c,"Globalaveragepooling1D Supports Masking### Summary
```Globalaveragepooling1D``` Can Follow ```Embedding``` Layer To Get An Embedding Representation Of A Sentence By Adding Words Representation Together(Refer #10895). It'S Necessary To Make ```Globalaveragepooling1D``` Support Masking As The Sentences Are Very Likely To Be Padding With Zero.

### Related Issues
#10895 

### Pr Overview

- [X] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Fix val_step in fit_generator with Sequence (#10946)

* Keep the right val_steps

* Add tests","Fix val_step in fit_generator with Sequence (#10946)

* Keep the right val_steps

* Add tests"
keras,0,11557,622540176d0943fcc3e361153ddac2ae08eb7e70,"Removed Matplotlib From Travis Because It'S Not Used In The Tests.### Summary

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Skipping the CNTK install in some travis jobs to speed up tests (#11562)

* Trying to remove cntk in some builds

* Moved the install to a separate file.

* Forgot new line

* Added the semicolon

* Made the shell script executable

* Converted the lines ending.

* Separated the batchnorm tests into three different ones

* Push for flaky test

* Pushing again for flaky tests.

* Pushing for flaky tests again again","Skipping the CNTK install in some travis jobs to speed up tests (#11562)

* Trying to remove cntk in some builds

* Moved the install to a separate file.

* Forgot new line

* Added the semicolon

* Made the shell script executable

* Converted the lines ending.

* Separated the batchnorm tests into three different ones

* Push for flaky test

* Pushing again for flaky tests.

* Pushing for flaky tests again again"
keras,1,#10845,f6fad22671db9506acee34b9fd33361de78ab148,"Rnn.Call Should Get Initial State From Full Input Spec### Summary
This Pr Fix A Critical Bug In ```Rnn``` Which Reported At #9449 And #10830 .

In ```Rnn.Call```, If ```Initial_State``` Is A Tensor That Was Returned By A Keras Layer, We Should Get ```Initial_State``` From Full Input Spec(Including Training Data, State And Constants) Which Was Generated At ```Rnn.__Call__```, As It Could Be Copied To Multiple Gpus. Otherwise, It Would Use The Original ```Initial_States``` Which Is Not Be Sliced According The Number Of Gpus.
Btw, I Have Also Check ```Cudnnrnn```, It Use The Correct Way, So We Don'T Need To Modify It.

I Run The Following Test Code In A Machine With 2 Gpus, It Works Well After This Fix.
```
Import Numpy As Np
Import Keras
From Keras Import Layers As L
From Keras.Models Import Sequential, Model
From Keras.Utils.Multi_Gpu_Utils Import Multi_Gpu_Model

X = L.Input((4,3))
Init_State = L.Input((3,))
Y = L.Simplernn(3,Return_Sequences=True)(X,Initial_State=Init_State)
_X = [Np.Random.Randn(2,4,3),Np.Random.Randn(2,3)]
_Y = Np.Random.Randn(2,4,3)
M = Model([X,Init_State],Y)
M2 = Multi_Gpu_Model(M,2)
M2.Compile(Loss='Mean_Squared_Error',Optimizer='Adam')
M2.Train_On_Batch(_X,_Y)
```

### Related Issues
#9449
#10830
 
### Pr Overview

- [X] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","[MP] RNN.call should get initial state from full input spec (#10845)

* RNN should get initial state from full input spec

* Reorg inputs of Bidirectional.call","[MP] RNN.call should get initial state from full input spec (#10845)

* RNN should get initial state from full input spec

* Reorg inputs of Bidirectional.call"
keras,1,#10929,7386841194d139ee8d1de2749fa64f86150f9c2f,Fix Ci On TensorflowThis Pr Is A Follow-Up To #10674. Is There A Difference Between Build Environments For Prs And The Master Branch? :( There Was No Problem In #10674 But The Recent Ci On The Master Branch Have Been Failing.,"Fix CI on TensorFlow (#10929)

* Fix CI on TensorFlow

* Another try

* Another try

* Another try","Fix CI on TensorFlow (#10929)

* Fix CI on TensorFlow

* Another try

* Another try

* Another try"
keras,0,11572,58432f2c78cd5bc1d9893c63b3cb8977dab31670,"Simplified Travis Build### Summary

We Now Remove The File That We Don'T Want Rather Than Check All The Backends One By One.

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Removed pytest-timout because it's causing too many problems on travis. (#11559),Removed pytest-timout because it's causing too many problems on travis. (#11559)
keras,0,10158,91c701e282592865b453ca25e572ac48fe6a3672,"Avoid A Warning In Optimizer By Using  'X = X * Y' Instead Of 'X *= Y'I Used Sgd Optimizer, And I Encounted Following Warning.

> [Tensorflow][Warning]: Variable *= Will Be Deprecated. Use Variable.Assign_Mul If You Want Assignment To The Variable Value Or 'X = X * Y' If You Want A New Python Tensor Object.

I Found A Way To Avoid This Warning For Sgd And Other Optimizers.
The Way Is Diff Of This Pull-Request.

Thank You.",Explicitly mention using a Sequence object in val (#10223),Explicitly mention using a Sequence object in val (#10223)
keras,0,9488,9118ea65f40874e915dd1299efd1cc3a7ca2c333,"Fix Tensorflow_Backend  Deprecation WarningWarning:Tensorflow:From .../Lib/Python3.6/Site-Packages/Keras/Backend/Tensorflow_Backend.Py:3148: Calling L2_Normalize (From Tensorflow.Python.Ops.Nn_Impl) With Dim Is Deprecated And Will Be Removed In A Future Version.
Instructions For Updating:
Dim Is Deprecated, Use Axis Instead","Cleanup fit_genenerator for validation (#9537)

* Made Sequence iterable

* Made it python2 compliant

* clean fit_generator

* keep mp specs

* Fix tests and expl","Cleanup fit_genenerator for validation (#9537)

* Made Sequence iterable

* Made it python2 compliant

* clean fit_generator

* keep mp specs

* Fix tests and expl"
keras,1,#12627,b2771d13b0f9146cde43af00f5a5156f56614436,"Minor Optimisations<!--
Please Make Sure You'Ve Read And Understood Our Contributing Guidelines;
Https://Github.Com/Keras-Team/Keras/Blob/Master/Contributing.Md
-->

### Summary
- Using `Dict.Copy()` Instead Of Importing `Copy` Library
- Faster List Extension (See Code)
### Related Issues
None
### Pr Overview

- [N] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [N] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [Y] This Pr Is Backwards Compatible [Y/N]
- [N] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Minor optimisations (#12627)

* Avoid importing copy

* Minor optimisation

* Cleanup

* PEP8

* Revert changes","Minor optimisations (#12627)

* Avoid importing copy

* Minor optimisation

* Cleanup

* PEP8

* Revert changes"
keras,0,11575,fd537c7962edf563a3bb14526de9ce57dd26c341,"Added The Numpy Implementation Of Switch To The Docs.### Summary

I Used `Np.Newaxis` For Users Who May Not Be Familiar With The `None` Indexing.

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Various tests parametrizations (#12017)

* remove test case as code sections are already there in first test.

* parametrize convolutional_test

* parametrize advanced activations

* parametrize core

* parametrize embeddings

* fix linter

* keep auto doc test","Various tests parametrizations (#12017)

* remove test case as code sections are already there in first test.

* parametrize convolutional_test

* parametrize advanced activations

* parametrize core

* parametrize embeddings

* fix linter

* keep auto doc test"
keras,1,#9996,ba8b3fca6e9e4e863bb80d134946be1b60463718,"Remove Deprecated Imsave Method In Neural Style Transfer ExampleWhile Attempting To Run The Neural Style Transfer Example, The Imsave Method Failed.  According To Https://Docs.Scipy.Org/Doc/Scipy/Reference/Generated/Scipy.Misc.Imsave.Html#Scipy.Misc.Imsave  
`Scipy.Misc.Imsave` Is Deprecated And `Imageio.Imwrite` Should Be Used.  After Making This Change The Script Runs Successfully.  ","[RELNOTES] Introduce `preprocessing.image.save_img` and remove deprecated imsave method in neural style transfer example (#9996)

* imsave method in scipy.misc package is deprecated - now using imageio

* updated save_img method to use array_to_img method.  also updated the neural style transfer example to use the new save_img method

* forgot to commit changes - updated save_img

* added file_format and **kwargs parameter to save_img and updated docstring

* removed space at the end of a line in save_img method.  updated instances of imsave in example scripts with save_img method.

* added kwargs to docstring.  removed additional whitespace lines

* removed trailing whitespace","[RELNOTES] Introduce `preprocessing.image.save_img` and remove deprecated imsave method in neural style transfer example (#9996)

* imsave method in scipy.misc package is deprecated - now using imageio

* updated save_img method to use array_to_img method.  also updated the neural style transfer example to use the new save_img method

* forgot to commit changes - updated save_img

* added file_format and **kwargs parameter to save_img and updated docstring

* removed space at the end of a line in save_img method.  updated instances of imsave in example scripts with save_img method.

* added kwargs to docstring.  removed additional whitespace lines

* removed trailing whitespace"
keras,0,11383,7d5d4a6368e45cb9939acb04d089cb46adbca32a,"Making Lines Shorter In Five Different Files.We Are Trying To Make All The Files In The Codebase Have A Line Lenght Below 85. This Has Been Done To Nearly All Files. Just Five Are Not Done Yet:

* Keras/Backend/Cntk_Backend.Py
* Keras/Backend/Common.Py
* Keras/Backend/Tensorflow_Backend.Py
* Keras/Backend/Theano_Backend.Py
* Tests/Keras/Backend/Backend_Test.Py

If You Want To Take Up This Issue, Please Make One Pull Request Per File (You Don'T Have To Do All Five Pull Requests At Once). And Once The Lines Are Shorter For One File, You Can Remove The Corresponding Exception In The Https://Github.Com/Keras-Team/Keras/Blob/Master/Pytest.Ini To Enable The Tests.","Added get_value, count_params, int_shape and get_variable_shape to (#11388)

reference_operations.py","Added get_value, count_params, int_shape and get_variable_shape to (#11388)

reference_operations.py"
keras,0,11167,fed304bcedfed737fa540fc0b6ce0bf27187d4b9,"Grouped Common Function Calls Together In The Test_Callbacks.Py.### Summary

Readers Expect Frequent Patterns To Be Defaults When Calling Functions. Reading Though `Test_Callbacks.Py` Isn'T Easy Because One Have To Check All The Arguments Of `Get_Test_Data` Every Time To Check That Something Out Of The Ordinary Isn'T There.
This Pr Allows The Reader To Quickly Know What Differs From One Test To Another. I Think It Improves Readability.

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Move package installation on Travis (#11162),Move package installation on Travis (#11162)
