label,Issue_KEY,Commit_SHA,Issue_Text,Commit_Text,Commit_Code
0,LOG4NET-259,ca41de816d183c517c287b4743073f6f4feb3bc6,"Log4Net does not create a new tab in Chainsaw I believe the problem is in XmlLayoutSchemaLog4j, and that you need to change ""log4japp"" to ""application"".

According to the Chainsaw tutorial:
Chainsaw automatically looks inside each received LoggingEvent for a special Application property to determine which tab to route an event to. If it cannot find this property, it attempts to use a secondary property usually added via the SocketAppender or SocketHubAppender which identify the remote host of these events. If neither of these are found, Chainsaw routes events to a default ""Unknown"" tab.

Logging events generated internally by chainsaw include the following properties:
<log4j:properties>
    <log4j:data name=""application"" value=""Generator 1""/>
    <log4j:data name=""hostname"" value=""localhost""/>
    <log4j:data name=""log4jid"" value=""2""/>
    <log4j:data name=""some string"" value=""some valueGenerator 1""/>
</log4j:properties>

Logging events generated by XmlLayoutSchemaLog4j include the following properties:
<log4j:properties>
    <log4j:data name=""log4net:UserName"" value=""DOMAIN\username""/>
    <log4j:data name=""log4jid"" value=""281""/>
    <log4j:data name=""log4jmachinename"" value=""machineName""/>
    <log4j:data name=""log4net:HostName"" value=""machineName""/>
    <log4j:data name=""log4japp"" value=""Application.exe""/>
</log4j:properties>

See also: http://www.mail-archive.com/log4j-dev@jakarta.apache.org/msg05361.html

UPDATE: Documentation issue. See comments below.",LOG4NET-335 fix InternalConfigureAndWatch to allow exactly one watch handler for every config file instead of one watch handler for every repository, MODIFY XmlConfigurator.csXmlConfigurator InternalConfigureAndWatch
0,LOG4NET-215,fc878ee7e72a20432534f7670c4549739170287b,"Exception on Convert for return %class{1} name in function^

override protected void Convert(TextWriter writer, LoggingEvent loggingEvent)
		{
			string name = GetFullyQualifiedName(loggingEvent);
			if (m_precision <= 0)
			{
				writer.Write(name);
			}
			else 
			{
				int len = name.Length;

				// We subtract 1 from 'len' when assigning to 'end' to avoid out of
				// bounds exception in return name.Substring(end+1, len). This can happen if
				// precision is 1 and the logger name ends with a dot. 
				int end = len - 1;
				for(int i=m_precision; i>0; i--) 
				{
                    end = name.LastIndexOf('.', end - 1);
					if (end == -1)
					{
						writer.Write(name);
						return;
					}
				}
				writer.Write(name.Substring(end+1, len-end-1));
			}	  
		}

if ""string name = GetFullyQualifiedName(loggingEvent); "" return '?' (noname class-name) in line ""end = name.LastIndexOf('.', end - 1);"" exceptrion because end = 0...

",Allow EventLog category to be specified via the LoggingEvent's properties or a configured value.  Based on patch by Ron Grabowsky.  LOG4NET-38, MODIFY EventLogAppender.csEventLogAppender Append MODIFY SystemInfo.csSystemInfo TryParse
1,LOG4NET-354,12a0c7397eb19eafbbcdfa0a93b1ae03740ad212,"E-mail encoding configuration setting for SmtpAppender It would be nice if we could specify body transfer encoding and subject encoding in SmtpAppender (via configuration settings).
All unicode characters are rendered as question marks, because SmtpAppender uses the default settings:

Content-Type: text/plain;charset=""iso-8859-1""
Content-Transfer-Encoding: 7bit","LOG4NET-354 reverted changes from revision 1489736 since we do not want to change the public API

However, there should be an entry in the FAQ that explains the usage of LogManager.GetRepository().Configured
which still needs to be written.", MODIFY LogImpl.cs MODIFY ILog.cs
1,LOG4NET-215,451cce90f726c70f60f81848ff75413efb4e3e34,"Exception on Convert for return %class{1} name in function^

override protected void Convert(TextWriter writer, LoggingEvent loggingEvent)
		{
			string name = GetFullyQualifiedName(loggingEvent);
			if (m_precision <= 0)
			{
				writer.Write(name);
			}
			else 
			{
				int len = name.Length;

				// We subtract 1 from 'len' when assigning to 'end' to avoid out of
				// bounds exception in return name.Substring(end+1, len). This can happen if
				// precision is 1 and the logger name ends with a dot. 
				int end = len - 1;
				for(int i=m_precision; i>0; i--) 
				{
                    end = name.LastIndexOf('.', end - 1);
					if (end == -1)
					{
						writer.Write(name);
						return;
					}
				}
				writer.Write(name.Substring(end+1, len-end-1));
			}	  
		}

if ""string name = GetFullyQualifiedName(loggingEvent); "" return '?' (noname class-name) in line ""end = name.LastIndexOf('.', end - 1);"" exceptrion because end = 0...

",fix bounds-checks in NamedPatternConverter.  LOG4NET-215, MODIFY NamedPatternConverter.csNamedPatternConverter Convert MODIFY PatternLayoutTest.csPatternLayoutTest MessageAsNamePatternConverter GetFullyQualifiedName PatternLayoutTest NamedPatternConverterWithPrecision2ShouldStripLessLeadingStuffIfPresent PatternLayoutTest NamedPatternConverterWithoutPrecisionShouldReturnFullName PatternLayoutTest NamedPatternConverterWithPrecision1ShouldStripLeadingStuffIfPresent
1,LOG4NET-106,fcbb2b35201cfd167d3a5e2b0ea9a997b4f782a3,"TraceAppender : Add switch to disable using logger name as trace category TraceAppender now always put logger name as trace category when writing to System.Diagnostics.Trace.Write
ie. :
System.Diagnostics.Trace.Write(RenderLoggingEvent(loggingEvent), loggingEvent.LoggerName);

This resulted in logger's name appearing twice in Trace logs if once use/share the same conversion for both file-based and trace appenders, eg.
""%date [%thread] %-5level %logger - %message%""

It would be nice to have a settable property on TraceAppender to disable using logger's name as trace category, ie. :

public bool UseLoggerNameAsTraceCategory
{
get; set;
}

...
if (m_useLoggerNameAsTraceCategory)
{
  System.Diagnostics.Trace.Write(RenderLoggingEvent(loggingEvent), loggingEvent.LoggerName);
}
else
{
  System.Diagnostics.Trace.Write(RenderLoggingEvent(loggingEvent), null);
}





",LOG4NET-106: Disambiguated cref due to newly added LayoutSkeleton.Format method, MODIFY PatternLayout.cs
1,LOG4NET-143,4c77e243badefb4253e9e7600d2eccc703b2f3fb,"Invalid Repository Config Uri composition from ""log4net.Config"" application setting In DefaultRepositorySelector class in method ConfigureRepository(Assembly assembly, ILoggerRepository repository) (DefaultRepositorySelector.cs, line 706) code perform config uri composition from applicationBaseDirectory path and specified in ""log4net.Config"" settings file name. Because SystemInfo.ApplicationBaseDirectory property return path not ended with slash '\' at line 706 during ""new Uri(applicationBaseDirectory)"" operation executed trimmed last folder, so config uri made invalid.",properly resolve relative URI of config file name given via log4net.Config appsetting.  LOG4NET-143, MODIFY DefaultRepositorySelector.csDefaultRepositorySelector ConfigureRepository
1,LOG4NET-243,bde1c9f25df968b55bf8987bc2f6377462be7dc8,"broken link on http://logging.apache.org/log4net/release/example-apps.html the link in the text: ""The following examples are only available in the log4net release download, not on-line. To obtain the examples download one of the log4net releases.""  in the Overview section points to http://logging.apache.org/log4net/downloads.html 

whereas it should point to http://logging.apache.org/log4net/download.html . 

The current link yields a 404.",fix links in examples page.  LOG4NET-243, ADD blockLocalOnlyLinks.js getElementsByClass BlockLocalOnlyLinks MODIFY example-apps.xml
0,LOG4NET-116,289a3f2a030c75e6fb0912f2c0c22021848d587c,"allow smtp to ssl authenticate and with certificates. It would be fantastic if more of the SMTP feature of .net 2.0 would be allowed such as 
SSL authentication and with certificates.",Fix for LOG4NET-140. Improve documentation for IFixingRequired to explain how data can be evaluated immediately when a logging event is created or delayed until being written to an appender., MODIFY LoggingEvent.cs MODIFY contexts.xml
0,LOG4NET-76,d78a5f8331dad60de277fecda43205412ccb464a,"TextWriterAdapter is not thread safe When logging using the XmlAppender, our company application can generate overlapping appender calls.  TextWriterAppender is not thread safe.

",RemotingAppenderTest fails on very first test because of timing issues - at least on my machine.  Avoid problems by waiting a bit longer.  LOG4NET-301 and LOG4NET-265, MODIFY RemotingAppenderTest.csRemotingAppenderTest TestFullFix RemotingAppenderTest TestPartialFix RemotingAppenderTest TestRemotedMessage RemotingAppenderTest TestRemotedMessageNdcPushPop
0,LOG4NET-232,ca41de816d183c517c287b4743073f6f4feb3bc6,"Use ReaderWriterLockSlim instead of ReaderWriterLock. ReaderWriterLock should be replaced with ReaderWriterLockSlim according to Microsoft for performance and simplification reasons.

MSDN: http://msdn.microsoft.com/en-us/library/system.threading.readerwriterlock.aspx

The .NET Framework has two reader-writer locks, ReaderWriterLockSlim and ReaderWriterLock. ReaderWriterLockSlim is recommended for all new development. ReaderWriterLockSlim is similar to ReaderWriterLock, but it has simplified rules for recursion and for upgrading and downgrading lock state. ReaderWriterLockSlim avoids many cases of potential deadlock. In addition, the performance of ReaderWriterLockSlim is significantly better than ReaderWriterLock. ",LOG4NET-335 fix InternalConfigureAndWatch to allow exactly one watch handler for every config file instead of one watch handler for every repository, MODIFY XmlConfigurator.csXmlConfigurator InternalConfigureAndWatch
